Magic Word,Magic Power Level
*%DO+q*m,1
dr)#Bf4m,0
EuipYasX,2
aol4J<WN,1
"QW8ir[l""",1
?^+Xd|a{,1
7E}\!Yc:,0
GU-OHV|5,0
tu>dZn7W,2
BN6aJyTW,1
",LTJ>kC%",0
5_0XTS+#,0
q^6lUh0l,2
$|<ZonS],1
r8Hr\;[z,1
O;P~eTpb,1
FW}Y61o$,1
'K]$v001,1
\QzKEs8A,1
;.57;M>S,0
}.J}f/G$,1
s+y*&x*/,1
QEoBZ|KM,0
5$DLX#m/,0
k!0Hm{oD,1
m'=lup+@,2
B41-;_1r,1
cgc;baW\,2
"c>..2:a,",1
\J+*!u*A,0
$uQq.Kca,2
]wT0orml,2
Jt:-u9x$,2
"""M]i9FKW",0
nf$H-iCG,2
][H{HjZA,0
*c*)!Mc+,1
'XJ#P@S~,0
B;ux`dQX,1
wSDT$s-A,1
"uED|]'D""",0
",9TMFR$`",0
rhhuTkv),2
zsjN7Zyj,2
MfB#9.n',0
$5n@^4!I,2
KRH5;b`z,1
",N0<_[5Z",0
me$@WZ4t,2
"LU(""&cB+",0
",,T""KK!}",0
CHlx0#cl,0
oA4[6=5!,1
#6&upqzv,1
8lDpVMCT,1
f4(].:7Q,0
|AAO\'%(,0
qDJ0|$:t,2
oZ`%4[M3,0
)%z0L6rU,1
gya(py#s,2
tSbD^k0],1
m.-13Ms[,1
=uBylz!4,2
"""UyYNFj)",0
~#21)}c4,0
r1d.(V{W,1
q1vJ1|Q&,1
tvk&4(-X,1
X~'`Qz5v,1
bJD_sV:{,1
T6m~9UP?,0
B>Je8xbk,2
GjJ4nH5d,1
=bHP;Oxb,1
(kmX*<z(,1
S6i@[N1),1
81/vljs3,2
|ha2qf2t,2
rN7=?8\D,0
ZMo1][/\,0
G;~CS&3L,0
no^`9\1\,1
"[bZ;Ex8""",1
P_Z:mt3h,1
tO/Fszyl,2
+&?}E.r@,1
AtW%(F`e,1
KPfo_\9!,1
@AEQp\Fb,1
fh`<yG9',1
sl):O5`[,1
8^f~>Mwj,1
n'd)<:1H,1
=au{=UiB,1
MnCBuKTR,0
Jn\=pk7/,1
3;0dyLuT,2
hX'}\{MW,0
if\_6g1},2
",3_e/sv%",2
"|4TZms"">",1
)L'8x4uA,1
Rl{XbtPS,1
{MkHe8f`,1
ej|M%^gd,2
:^`HK!;~,0
!_Drz&b{,1
'\#}DX5:,0
)at1&r!a,2
V^O*\}S&,0
{d-tbp><,2
qy2#fui7,1
=mNz@k)-,2
8.o8sq_O,2
R><MM|)v,0
gc/9A~Q:,1
chf%z_S&,2
"|JyGt~N,",1
OSoP_Gtt,1
dzrufmGO,2
9g^pJ|Iu,1
>s9cc`.[,2
"ET""<r^C#",0
1BS5auD0,1
#5L6euAL,0
",f:^_,8v",1
D!YG1o.H,0
yukNAyv-,2
?kJBg!bE,1
"$o*42mE""",2
"p\B;p96,",1
P\Ld93-v,1
"[o/-<""^X",0
:;R#D1kX,0
`^><bwQY,1
1pCv0#jc,1
Jn(t4jWb,2
3${uyIMM,2
x@J?;a</,2
yGZ{X-Mp,0
t;l[m3T~,1
"2T-3WY<""",0
uxU]gotM,2
Re#F}QWC,0
WQ.(`wN3,0
6G/&8W73,0
Q#(S8xw},0
d&;cu2D=,1
"]+Jwp=,r",1
TmCs]QlV,1
v{N0a{)n,1
)QuC]1-K,0
Y=o1UL1#,0
}g?WzM*T,1
@u')BR.?,1
~BGxP^q<,1
}:#0i3O`,0
%@Vgp98&,2
"g/,jC^3$",2
!W>zPq(k,1
-.nr(<hM,1
"E=by,;RE",1
lsAY:yA?,1
"yP"">.>W7",0
wYmeK$w#,1
($*/7<$r,2
<X`E!|z9,0
Bv}(>PF4,0
:Hd'!Q)j,1
"oQT.i},A",1
~(1]4hAI,0
":bmY/b~,",1
i4AK'b'),1
zAa*IZsh,2
|koN`SU.,1
=n(+WHf>,1
$YepYGNn,2
a!j.ejIx,2
L&Q[D!l2,0
"PAcz!""QF",0
qDJy@Ufh,2
}yuEgd$B,2
"^jf'AGM,",1
"1X(ca;j""",1
{h2CWA}M,0
%E9p%NE=,0
KPxXpb*(,1
l#c)I_HO,0
"Ej""Ap?HY",0
<Zkuc-zN,2
+7X=^QDx,0
"x*y?n,LU",1
jDR+2n+f,1
-gv=QEnT,1
~<U12mJ{,0
<)Bg0s[W,1
"'""J#r&g4",0
[am&T=!{,1
Xd%hFV_/,1
/6:C@BDU,0
"~Eli,j~7",1
"NA*sU""{7",0
5|xOz1BJ,1
p$vSwbe@,2
1tAu<mM$,2
!x&rW+Zq,1
5}KZa)Z?,0
Ps1I^OT?,0
"}n""'/qC^",1
"D|0bGV,g",1
]iudBn1d,2
2jnf+mrK,2
"!:,W<B>u",0
T3ol|[{o,1
WsK0or7.,2
"1,WfKLoE",1
(t</kfR^,1
/*0O/KqM,0
`x9}VWjU,1
mLM[tYG{,0
L\S:RDrA,0
bI8Us&mw,2
"5m""',K<p",1
dKC7Fj'S,1
>yq\pBrD,2
"F0/,3P@<",1
T761AbxU,1
q5!n/Y5B,1
DLsdzX$b,2
!n{@0X`~,1
"~W8,GfNF",0
Z?hxV#Qk,0
GoX(*N%(,0
"!3:wZ,fd",1
dWPC@PHH,1
"Jq~|_""^@",1
](*E3`>T,0
O>[/4C3e,0
HKf/Pu2=,1
ny5zJ}N*,1
=F>4y7hr,2
LI<CI&.B,0
jiU<zi{P,2
$?)Dd-H?,1
&A/Yy$VS,1
qWCg$CSN,1
UEN>)Qx0,0
0D3$qz=;,2
CZ83@Fsi,2
en%[.m]v,2
AS):@xc#,0
F?7>3>C[,0
1$xm&w?',2
"2TsSmB""v",1
"$g`C/W,B",1
]]cQHMZX,0
o_I\n<2_,1
"=+T23""_y",0
i&~3a):a,2
Y>U1`k46,0
"=[""w0hkz",2
j*?cAz.n,2
fDM19gbs,2
Kj=W5AB[,0
5K&vh4mq,2
;bPaU(e~,1
Rnmo|&:|,1
5*x;wLM#,0
FLlb4gKw,2
0(~YDCr2,0
rVMpSa<M,1
{PIH}rLg,0
qbnE.}C[,1
e+]7F`dr,1
N7Nt??=v,1
V|BlH-d%,1
aW\1|<|(,0
r{+bJ7&y,1
)zkgj+_c,2
9.+Kn3ct,2
\c?1q_#2,0
"*""UTSw{6",0
zKFj<rG;,1
Vu:t@5EX,2
n<FUbwrv,2
|[$$?bSK,2
t)mFju5=,2
":f""_z$BW",1
Jm>%*%F!,0
MF0Do:7\,0
'*j.UO4W,0
85^x'MLp,1
xdWve&AR,2
fx``Ypn-,2
`}r~cDQ`,1
o7^{kD1v,2
E[G><Sgd,1
<MkyIf:c,2
E$q\!E3P,1
nL^XMU}T,0
&j4E'9gd,2
"$&[s,]8Z",1
`~@fF>d(,2
pQ!0Kzp0,2
g>H('5=t,1
"#_kB,wZx",0
"t,?!Y5wI",1
:3xE4|{9,1
}$%m%ElQ,1
I:mevZBR,1
EKM4nTHE,0
JhJr*JNd,1
^AL)T]'9,0
lN.C6y2*,1
"sLN1,xb6",2
hNaFtUV?,1
Ghu[HK`S,0
03*pBJw@,2
@2gIP1oD,2
`2n{Z/qI,1
^y~*PZ{:,0
|qJvp>Z4,1
eUXQ:%{),0
(p{I50jz,2
"e,1\R9S(",0
uD^?J0B`,0
vx}v{\io,2
JnUEBqT:,0
KNJLQPAn,0
"8~9X,wkS",1
2sc>FkmT,2
"0y*<""=&0",0
i%SV5u|J,1
"RhmWR,#T",0
>4^l^HgZ,1
xC]0<m0B,1
ZIxx0|4_,1
9}lL4O%$,1
(vMMp'@h,2
P)}UPD/),0
ewKN>3E',1
N+t/rCfB,1
"vB,?=p,r",1
aj'rjG8W,2
"d'<,FAE(",0
-10bO%At,1
x_7quqU?,2
A02hhaS%,2
IpIzgV1{,1
3y@zw2y+,2
u^cTY7yx,2
zQf[&Myf,2
5BLUkm}),1
Cl?[Cah\,1
37Z@H\R*,1
Ez30GETU,0
"@tv)""kbf",2
:yL%2O8x,1
"$P)#0,S/",0
"}-tSW,BM",0
2rS6dZ1E,1
NJM~;njk,1
v/?p7lF:,1
}@HrLbC<,1
8yO`(1:S,0
/pdmz}i(,2
yov2E5/B,2
o~n0^g+j,2
+0OR\et1,1
V;4x[SL{,0
?wbTc~g},2
E-?ujo;?,1
7aR]8zB%,1
<FBrb`|/,1
{U*Dh\~Y,0
"=v,|HuC~",1
kuJ-lXew,2
E@W7(`\V,0
;&7P\>1z,0
"9d*,_/OE",0
=6v8X)3V,0
"1F|W3""$A",0
4XhD7PR<,0
ijC0zGZd,2
"-,L53]%.",0
.L2_UM65,0
I>SgBB.j,0
"++qH,e#\",0
&*oD.T`f,1
(7`N2lk9,1
K&Mvmw1f,2
&f}=qlZX,1
T^w0]!q*,1
"""k]""{Ww""",1
f4D[9/5Z,0
y[f|EEeT,1
yeD5d$Va,2
>S{BleZy,1
4%\lA6!c,1
9!3i\+M),0
"8\A!s:,g",1
g0X>.pzU,1
r<NNUuy5,1
B^7@xSD),1
\%Ito:L%,1
WW.QzHwL,0
tciQ!&g&,2
uGV+**Hy,1
!.ynx;S&,1
KILVIGku,0
8^>Nip|(,1
"d-""H[@T,",1
Y*:o98@2,1
EvX}E!?W,0
!u|[#6YH,0
~Xs-NH'j,1
EuMI]p'<,1
b6>S.}2L,0
"RH""kx-,~",1
y)tMTWbD,1
ho)Ch?nu,2
IY\]^i%@,1
^e'yJ9GP,1
Dl'&MHx5,1
ZwaCVpc_,2
"F=r+U!,2",0
tF*|~#\k,0
y9~#:{>=,0
es/5@baP,2
g*hXkO^u,2
"Gp""$!XCw",1
saQ(A!:U,1
-toJ{NI~,1
<*3F]:X=,0
"ml,5[G$W",2
F`r1la0%,2
kCh0OsiE,2
@-)/cT[{,1
A/ePfR[U,0
">eJ""O?TW",0
";,uqM;dV",1
Z2fPAR[N,0
a}&mI&B),1
'T^)+=b!,0
n3v9M:H>,1
Ked)Y6/5,1
ltwXJ]oi,2
a3:G&@2!,1
rSV0-uep,2
"B;bhUH""W",0
XpIy+9_o,1
[U9F]D/z,0
k65O8[nF,1
Ief$dRGE,2
"{o!:}{""J",0
w8lb92L(,2
"F""0^.a}q",1
L)<5X$Tr,1
0Zhgx4mI,2
v!uT_)Ni,1
A30}9{eN,0
?f<Jil|f,2
yn3Nk.%m,2
Td4eQTUM,1
{9mgsEj[,2
fj&nV*wj,2
"=uQcnE""i",2
k`)`loN^,1
"?%PZ'L""o",0
)a~*\p(2,1
wjz@K-`$,2
f42/btCA,2
dxKTs/r3,2
U>^dW&%8,0
2/r;z>4o,2
U->~8\${,0
da\'7g.A,1
1Ve&4).],0
"^""qu<d:U",1
#ZRi@T7s,0
"NDPn""fOi",1
O$>Eu9_T,1
JN:)wMN|,0
*|wgkj:=,2
)U-SQfr{,1
*1{7j0Rx,1
tRR5gV-0,1
:*9@>[.W,1
9Xk\8v;s,2
LJ@M{9cn,2
4$oN)/y3,2
kPQ[JD!#,0
/;3cIHvT,1
76`Be60|,1
"EE$BI/G,",0
"M^<<i""U8",0
@xv&g&Xz,2
We\Q0|i|,1
~\)1o=k^,1
qXeonwAR,2
"#;A<M""p@",0
"2,8NzQX(",0
@Au`&vg;,2
e'*}1^pR,1
k^{P?TI6,0
&<75*q!n,1
eGskp~]W,2
7XuvAT^f,1
"t*>8q\"".",1
nlB>=+wx,2
aT`qY\Ee,1
G{_0.uu5,1
_(BXy8Ks,1
ro5DB(p=,1
@Aco&Thi,2
K*./]TPt,0
cc{B{g-9,1
37yqQFt/,2
")yN""W6cH",1
RDI`&edI,0
"Hu!1*""4Q",0
}p;xku'@,2
/TQq3&1],0
5FZe*goy,2
WHDR=-Ek,0
KF0$hrQp,2
?HvOBOGw,0
c=(KLjP@,1
"Rk=S""fk0",1
5C?r#MJ=,0
l6mG]wP',1
bnUf05=6,2
~).YmA0/,0
"R`*j""HZW",0
%q^jS1WA,1
BKqW`]G2,0
"[@5""%#Y_",0
`KhAW4OO,0
;MCU=}4/,0
?.APUrOh,0
S5FELi5;,0
_u2=1Cns,2
4'u?O!4-,0
H3e8F;<9,0
;T?<NBxg,1
"s03WrK8""",1
.ckR/U#7,0
2t(oL|T^,1
m`l!Q?-T,1
zl=2tNDD,1
~?$2v818,2
-T1C/7:A,0
5-X;G2*M,0
"$YGFH5""G",0
%f`^+HE],0
OcW@s>N',1
?ry]5w.y,2
"tJd,.kT3",1
9J3$~2;p,1
+J*Z.Mgo,1
#j;_BQOq,0
Q4?I(XG{,0
!mP:y\sn,2
ts)KZ>7s,1
uS]'I.0q,1
B=>OQE)|,0
(QXWnxE5,1
|Ep5?EKm,1
q.iCme.f,2
*iP:7y[R,1
uW'`U]%i,1
3fqFMctx,2
Li\C8>|y,1
XF$xbh'-,2
"!kd_8^E""",1
X5<yb@SW,2
"V""!ms,<4",1
f~/M<8?#,0
ti?>+y_C,1
Ludewd9O,2
3tPFu8!!,1
ts`zJW)y,2
/.8c~{6R,0
=Ljhunt',2
)86yTJDg,1
L$0f/2R+,1
;^`yKr!Z,1
)Boe2;IF,1
wCz<ITu|,1
">}V,Zni|",1
Aja_**F6,1
5R7@'1ju,2
Ng>giHJF,1
w)39[&y?,1
H~FZ8Hxh,1
[3#idE*!,0
'>:S$3Z0,0
<OniqTx$,2
LxqA0D6?,1
v'4r_:I!,1
6:xeANQ1,1
)IRVdk?P,0
P/M~dP4},0
]a5DdJja,2
"Y&""Z=uq@",2
>HYzW[6Y,0
<k-GE(Tf,1
V0j:5zk8,2
EP{RxUk_,0
d>q6LA%=,1
NQ$mf~U&,1
5B+#TXym,0
-T{?2Z:0,0
eV2>#L}@,0
.b--XLO1,0
"O""=U9P^l",0
<hO]r}h4,1
"#p5d_,T;",0
U_Z)/d:_,0
"a?.,/Ti}",1
~K=A[Fm%,0
S{{O6D'[,0
-J/ih*/9,1
^XbO+h8M,1
3S=C7KVt,0
'KUMIZVM,0
tD:+QYbu,1
]HhZnJUy,1
u?Az-%e1,1
o^_\`408,1
`vPE@zq1,2
!A#|hp{k,0
:kzF)O~|,1
~\zPL*gE,1
.*kS6bgC,1
^MUkX?[W,0
",^iYSUl>",1
8.7PZ_iF,0
dcEdaRS&,2
WLsZ5c_],1
pSS`2R9<,0
HD!FnY~a,0
t0M<8;-i,1
pmcH]8+L,1
"e{,<Ugr{",1
;6[?t!JZ,0
N5c)LGs?,1
g<md\yOq,2
Ay@sG?IS,1
r@/q156i,2
{_W%RIy#,0
+np<LLCb,1
;/L>F%wa,1
"Tq$@r7Q""",2
nF\8u3O$,2
+9%$luQ&,2
UTbQmS?/,0
E;ao/-Ft,1
.IV/X3dx,1
"*%rqz,xC",2
OX[t;'8`,0
WLB^mub^,1
R2:L3:M^,0
"87""7k&@p",2
"cK~T#!""*",0
I_?-^iGm,1
YbHJya[\,1
AwTP6^<T,0
r4OK=^uF,1
%Vw<R4EK,0
pX'wkev!,2
vvzdjy'],2
^|!W}7KX,0
/zQTqPe#,0
7)NX@]J4,1
"$J*|;,6Q",0
yTJNr&F\,0
j}PHwHYL,0
#L5R?>uu,0
>^wHog&D,1
b7<*7rP.,1
FdfV=hd9,2
jF9(dcjO,2
MUf^^M]r,1
bc&Z*.b*,1
$^AmE{MJ,1
ag.f_X01,2
"1<w_""1Pr",1
n/f/eBcs,2
"b>MM-,a}",1
;u)>^~n1,1
@}P]lUf0,2
9!4LJ2_',0
i':ka<90,2
CekorwvE,2
9cWu^&I~,1
=LsBohHr,2
EsE3=~_V,0
xOGJ$WFm,1
Q~9oPa+^,1
J=>'2xSQ,0
/T/E6/lv,1
e+Qh:~4H,1
a[ws|t2~,2
hBf~/PQ/,1
C!2C-r>=,0
SAi_^bYX,0
yguwm;eI,2
F>YJzL+q,0
",nm}(DAt",1
)p.]&v]k,1
`LVH[qug,1
9bwKHIKS,1
XG10t>'=,0
"2wL~J""$c",2
jDG4~cV#,0
LEPgsIkP,1
(;8<AWa6,0
._-_y+%C,0
*(Nw`+ZL,0
'q5<xCZ=,1
7;a5la^1,2
9=KzK(|3,0
"rT<""|:bl",1
AVJ{fQ$8,1
+28Uy(O>,0
"pNt5EFd,",1
h<SZ=U'N,0
|NKc\H'\,0
py+I@KI_,1
UK[oQN@r,1
xreDd/J+,2
'aH;0[WL,0
`Ye!l-sJ,1
jfy<BD%X,1
$9+%3{Tb,1
a6s3IwZ9,2
pmERA%5/,1
[HJXoD`Z,0
=x}1gNN',1
8ZUT]r`B,0
&H70kts9,2
)4K2mh]m,2
}01Eye}Q,1
*s{Tz=g[,1
xyn#%`O(,0
FM*%|]yw,1
/E1860np,1
.[>rG6lv,1
=C3}UmNM,0
cf=wTZZE,1
p(lZh)^*,1
?RFOmAX7,0
zB;z}LWU,0
"K|!)xhV""",1
VjT2Q=rb,1
qDUN`R8f,1
klKAM8Qp,1
U(=p#{(o,0
2ph;D8;e,2
|EBa:sYp,1
\{vqBuoy,2
m|9GOqR9,1
KU*Ok13y,1
"l?,rYY&X",1
nY(5^W:O,0
*\5(-}Im,0
='Iq8BQ[,0
fR!uj7SG,1
48r_&5Ta,1
l\K.SeS',1
qYQ;(spZ,1
<@)OnG^>,1
hTZ)aEGB,0
J2tQg\VZ,1
m(O!<@Bn,2
}D7J{<Eo,0
6gUeykdv,2
.u$?wzgI,2
"@""8Y`rJ_",1
",5fD!Do[",1
"Lo,kaD?%",1
"""`Bdwh^k",2
DP>-@Xh9,1
Y`O$a{_e,1
I4X\rvAC,1
X(js$~wo,2
8<=Y'&I&,0
F'1v\iBd,1
vFpxuCWp,2
kq5](8aw,2
vXPU\muK,1
3$P!MR)N,0
`[]5zaEh,1
#HRCz(k',0
{Ibh1Q_D,1
<s]s5PN<,1
Iv!$\5Xj,2
"-rLo'Ac,",1
vye7$utH,2
iU\dH-y7,1
U2f+*|rj,1
D?WO\G0V,0
1:S5#.$:,0
I3u';)wb,1
q&~Oi<^v,1
>^GrA+go,1
t.`Zx2EC,1
S#aA>@>Q,0
wR}CY7N2,0
C-xzp:l\,2
qtjwum*I,2
*v%qq./u,2
iJqE?DV&,0
2}H<uH4y,1
37;d/D]&,0
x2;!>&7',0
odV-J<F},1
wO{<WcUm,1
e8v2Rm%n,2
"""Nc*,?6k",1
yIhV[U[k,1
DhV>0}ms,1
1c|z]nJp,2
"HU@X*Z,G",0
6BDVb$*!,1
v`3g]pD2,2
M$}Ho1JN,1
POyaVyX[,1
"R""Kf%iV=",1
~5K%)6V7,0
QWXS?^3W,0
i/kaMLM8,1
l[=.Cgp5,1
t5:^k:#/,0
]!F(+vtm,1
8AVFku:+,1
kXiYo${#,0
J>'8F'FT,0
"Fn%^G,Ro",1
u1kl0LdS,2
V@vM{8nP,2
OT$w}]\<,1
"-Q!F,n:J",0
dDrGCw^s,2
haMe^W}#,0
VAK~PWz^,0
"QK~{D7,;",0
"dpX]+<P""",1
lRSaX;wv,2
",'48a84k",1
0kB%3cSo,2
Q:BO|/73,0
3xb=(zz/,2
`zCF[R=q,1
z.|<ed^T,1
M]SPLYNh,0
kN>r:wir,2
"_UXoZE""V",0
)/ps+(_X,1
$u<F}6h8,2
<Tl5j{:?,1
(~TIKVHg,0
1Jn]vg^Z,1
"Co<B2""h+",1
M+Z^wyDp,1
tl11`<6G,1
Fv>AouQm,2
?[O(\v0f,1
@Rna^iNO,2
ChP}:)[%,0
"|-,xB[*u",1
0tG].#);,0
+Z?I=Aug,1
\&e$YYo~,1
wtV;!._~,1
",p+ydcx.",2
|u+#w|Sl,0
icQVg.lX,2
r`G|W8^{,0
98rA24Z],1
ImMJYzBP,0
rV/-:N>y,1
lE/9?7O1,0
"r*)z,c0O",1
a9lIY4R=,1
%]M^L[0`,0
R:\b>u9N,1
{AcitHtj,2
Sf3!Hm{5,1
U=|U%N%M,0
W<1Y~)JY,0
Am{Y$q[d,2
B~Ro1uYw,1
v}i=ga+/,2
=3C78A9-,0
e]f?jC58,2
vi[~:Glb,2
.=OO'T+E,0
"|iVV""mFD",0
F;-~tp.<,1
x8_B=lYD,1
#1yCr|9S,0
e]Gy`7Y@,2
"uv-22""6/",1
-\$qXOmH,1
-k647|G_,1
<dv1>L{|,1
E}?cVq2(,1
V50F_)Tb,0
c6z~YAb#,0
J.ckmal=,2
~eVAgn{=,1
?{;#nB*l,0
[b2BNJ(:,0
H{Ex)Bw6,1
7$Hn2I~0,1
"""oZZk+Ct",1
);q$3BP_,1
CZ_/5Yg],0
bD..g?m{,1
*v.J8_?E,0
#{8gllz9,1
9=~ioCSH,1
rj2l&pQ5,2
s9gs:%s5,2
Y~V5h$gh,2
N:9)ECI},0
'X-/=DYD,0
}7'3Z57A,0
",~Juhrjn",2
gn0%T@HZ,2
7xgXWxx*,2
[1$1\YE%,0
>iw^'2[Q,1
HJ6;nL}),0
(v|eLik*,2
\hv8H]5Z,1
_Bvz#O?6,0
"[el5^|,:",1
EH;rcK=<,1
rDS.K`a^,1
{Gp@.XbY,1
@B_`W'rP,1
.>ALU0dG,0
"i_}V""[e-",1
_zKb=B`7,1
{(4TnsYC,1
>X`DN';B,0
w`-[i5%n,2
I$AQ1:(I,0
Tlrt_N=l,2
%K~xY'XZ,0
{!EyX\<R,0
JMt.J)o%,1
8fkVcczC,2
eCC|Jm{|,1
5+6YkMy_,1
?&!`)a+l,1
t;hcCdxa,2
"GaeP80z""",2
FpFik]<t,2
FE~%SvQ1,0
Z|8mm8;|,1
%/5:|Eus,1
49&3ZLfB,0
Ti>ywtQ$,2
K^'uE^Y\,0
"',Q7,[K|",0
B{?xz(v2,1
A\{jQW$0,1
pRGQXUv_,0
'Ai71NNH,0
A;K$%<rX,1
w!7Uo6j1,2
=N2#dRTZ,0
6z-:mj&',2
"]r4_d""+)",1
^g9td4FW,2
:s2!w.T*,1
}aRw9:EH,1
5!r'6L2(,1
ufoKoPAx,2
)[&Z:l7T,0
"$""'|CR~P",0
b%)y%%jm,2
C+;V!{HA,0
",""ps<GdI",1
*yJ#(_mU,0
`N#b6O2l,0
=MykI_@',2
1i|}@<IN,1
.aW^fb}K,1
jv]^$u#I,1
t%l4W{|J,1
x]^7Zt#x,0
R_T!O)[5,0
I<w>EjEA,0
;W2KxP[8,0
w#ytQB~X,0
SwF'AlO%,0
"v\pn6""Jb",2
}S#L-4o?,0
\#Lz`=*9,0
")T,Z!A+B",0
EJHf8#h8,0
19fa5g8\,2
^h0':mS$,2
rt@4Cn~.,2
6Kum'E#',0
.!CPn1Cp,1
d+EcV)A|,1
?6QLw{U3,0
[x~<f&G?,1
X4:sKVD7,0
rnhk++N{,2
5&/M~J~E,0
q'8s)vP=,1
7tA:c$av,2
;C!W&=Ac,0
]?[*}%5],0
".,[A!;&{",0
ol4Nv.76,2
uS{x`'OL,1
iw4V?=$U,2
",T9166,D",0
"<v,}t.""i",1
$mJfEdCr,2
tO$%tSFy,2
&S4[HR$%,0
D$7aC`s0,2
}Ded^TY1,1
J34p/R3&,0
nC@wJlg6,2
hG1H;ral,2
QU.}te'),1
rMXV(<s6,1
!PQ&IV8H,0
iV2m2}.U,1
c:32$X^C,1
"ok,Xxhp[",2
"\$'3""!""o",1
j0d{\S~;,1
{mrN_8;D,1
aoFP}8_-,1
0Z4a3z+7,1
0{IpX|xe,1
"y5R/+6C""",0
.gO]1xG',1
rCX}yh#7,0
"H""I>+K2>",0
=:!nSDMy,1
E}!uH4;X,0
1MmYOA3~,0
*r|yE:Av,1
`;uV_>pM,1
k<|#2Fcu,0
bI5M{w}[,1
e<G6O1BC,0
""",E^uBN*",0
#3BR[nb\,0
P$?lZMHd,1
Z{@?-|`A,0
X2@1c|'c,2
"#=Qao,dE",0
g{fDn!4n,2
PO'=JBoC,0
"[4sozcS""",2
G*$4Q(t$,2
_RK&dvo[,1
w+aEAh8/,1
qo3B$DXH,1
"ftcN2,&B",1
#.N$4qNk,0
"4,/>^\a<",0
)`2;v.{q,1
{G!6>#);,0
.Em|\)$O,1
?A'~~m;j,1
5WZdd5zb,2
*o)v~[$U,1
y`&qa/hN,2
^O{s0OlD,1
"E7c,SauB",1
]<yp5'us,2
^[E;~FtO,0
}_ll1KMG,1
H93>]FV;,0
